url,title_mask,pr_group,ref_pattern,prod_file,test_location,source,reviewer
https://github.com/getsentry/sentry-java/pull/750,testability_body,only_ref_for_test,add_constructor_param,sentry/src/main/java/io/sentry/config/Lookup.java,https://github.com/getsentry/sentry-java/pull/750/files#diff-1612c08fc954eb2a580c1c3681d6952f57c92cbe8efa88f84c42bc44c2eb8e43R22,pr50,Reviewer1
https://github.com/novoda/no-player/pull/275,testability_body,only_ref_for_test,extract_class_for_invocation,core/src/main/java/com/novoda/noplayer/internal/exoplayer/NoPlayerAdsLoader.java,https://github.com/novoda/no-player/pull/275/files#diff-3aa7e6732871e75f9b422fb31df58174ead408385eabb52b457f3fb01ccbdf78R64,pr50,Reviewer1
https://github.com/folio-org/mod-circulation/pull/670,testability_body,irrelevant,irrelevant,,https://germania.diplo.de/ru-ru/aktuelles/-/2468418,pr50,Reviewer1
https://github.com/ORCID/ORCID-Source/pull/2212,testability_body,irrelevant,irrelevant,,,pr50,Reviewer1
https://github.com/getodk/collect/pull/1485,testability_body,only_ref_for_test,add_constructor_param,collect_app/src/main/java/org/odk/collect/android/widgets/AudioWidget.java,,pr50,Reviewer1
https://github.com/wireapp/wire-android/pull/947,testability_body,irrelevant,irrelevant,app/src/main/scala/com/waz/zclient/controllers/ThemeController.scala,,pr50,Reviewer1
https://github.com/jenkinsci/jenkins-test-harness/pull/138,testability_body,irrelevant,irrelevant,,,pr50,Reviewer1
https://github.com/rsksmart/rskj/pull/466,testability_body,incl_ref_for_test,extract_class_for_invocation,rskj-core/src/main/java/org/ethereum/core/TransactionExecutor.java,https://github.com/rsksmart/rskj/pull/466/files#diff-248c3426195610f1af07390c8a491f7496cd6b1f9a97bb2a682adfb78e2f9c62R46,pr50,Reviewer1
https://github.com/graknlabs/grakn/pull/5434,testability_body,incl_ref_for_test,add_constructor_param,server/src/server/session/TransactionOLTP.java,none relevant,pr50,Reviewer1
https://github.com/Terracotta-OSS/terracotta-core/pull/813,testability_body,incl_ref_for_test,add_constructor_param,connection-loader/src/main/java/com/terracotta/connection/api/AbstractConnectionService.java,https://github.com/Terracotta-OSS/terracotta-core/pull/813/files#diff-526de462b1855adc4bf06d7c5fe7d49af519255652173ecda3298a8a6b971e9eR42,pr50,Reviewer1
https://github.com/pinpoint-apm/pinpoint/pull/315,testability_body,incl_ref_for_test,extract_method_for_invocation,bootstrap/src/main/java/com/navercorp/pinpoint/bootstrap/PinpointBootStrap.java,none,pr50,Reviewer1
https://github.com/CorfuDB/CorfuDB/pull/438,testability_body,irrelevant,irrelevant,runtime/src/main/java/org/corfudb/runtime/view/QuorumFutureFactory.java,,pr50,Reviewer1
https://github.com/virtual-imaging-platform/VIP-portal/pull/52,testability_body,only_ref_for_test,add_constructor_param,Portal/vip-api/src/main/java/fr/insalyon/creatis/vip/api/business/ApiBusiness.java,https://github.com/virtual-imaging-platform/VIP-portal/pull/52/files#diff-13549f1d21288236ba0914311174d6101485912b667699d3ed832f85881808e3R70,pr50,Reviewer1
https://github.com/tronprotocol/java-tron/pull/44,testability_body,irrelevant,irrelevant,src/main/java/org/tron/peer/Peer.java,,pr50,Reviewer1
https://github.com/the-blue-alliance/the-blue-alliance-android/pull/947,testability_body,only_ref_for_test,extract_method_for_override,android/src/main/java/com/thebluealliance/androidclient/gcm/GCMMessageHandler.java,https://github.com/the-blue-alliance/the-blue-alliance-android/pull/947/files#diff-69da81b7b7dda0db472be8e496c108c1eec149d3639dc6423a3fdca12cd922a3R17,pr50,Reviewer1
https://github.com/kiegroup/kie-wb-common/pull/358,testability_body,incl_ref_for_test,extract_method_for_override,kie-wb-common-widgets/kie-wb-common-ui/src/main/java/org/kie/workbench/common/widgets/client/widget/AttachmentFileWidget.java,https://github.com/kiegroup/kie-wb-common/pull/358/files#diff-f65c4f0f3a094f0adfc5b73423e14832393a27cbe6e05e352321345442384152R136,pr50,Reviewer1
https://github.com/dhis2/dhis2-core/pull/5871,testability_body,incl_ref_for_test,extract_class_for_invocation,dhis-2/dhis-services/dhis-service-analytics/src/main/java/org/hisp/dhis/analytics/data/handling/DataAggregator.java,https://github.com/dhis2/dhis2-core/pull/5871/files#diff-afbd072cd19c02d8f4d1dbda4b122c7c66fb3e7f7ba7d5f71bb76aae15558014R130,pr50,Reviewer1
https://github.com/graknlabs/grakn/pull/2833,testability_body,incl_ref_for_test,extract_class_for_invocation,grakn-bootup/src/main/java/ai/grakn/bootup/StorageBootup.java,none,pr50,Reviewer1
https://github.com/google/guice/pull/1373,testability_body,only_ref_for_test,add_constructor_param,core/src/com/google/inject/internal/util/ContinuousStopwatch.java,https://github.com/google/guice/pull/1373/files#diff-c35efd0102f7d0afa974f744c9312a81a97427c27c89c2384793ceac371291baR44,pr50,Reviewer1
https://github.com/GoogleContainerTools/jib/pull/1571,testability_body,irrelevant,irrelevant,,,pr50,Reviewer1
https://github.com/antlr/antlr4/pull/2405,testability_body,irrelevant,irrelevant,,,pr50,Reviewer1
https://github.com/apache/nifi/pull/3119,testability_body,incl_ref_for_test,other,nifi-nar-bundles/nifi-framework-bundle/nifi-framework/nifi-authorizer/src/main/java/org/apache/nifi/authorization/AuthorizerFactoryBean.java,https://github.com/apache/nifi/pull/3119/files#diff-0e63412a5af651a0a77cb85c6073a1b93642435956db12218dcd0944a7765130R68,pr50,Reviewer1
https://github.com/getodk/collect/pull/3038,testability_body,irrelevant,irrelevant,,,pr50,Reviewer1
https://github.com/dhis2/dhis2-core/pull/4432,testability_body,irrelevant,irrelevant,,,pr50,Reviewer1
https://github.com/novoda/download-manager/pull/318,testability_body,irrelevant,irrelevant,,,pr50,Reviewer1
https://github.com/palantir/atlasdb/pull/729,testability_body,only_ref_for_test,widen_access_for_invocation,atlasdb-impl-shared/src/main/java/com/palantir/atlasdb/sweep/SweepTaskRunnerImpl.java,https://github.com/palantir/atlasdb/pull/729/files#diff-0adc66f79c9d010dcb3563f1f83155fd66b3de9677fc273495637a6a789e7c4bR228,pr50,Reviewer1
https://github.com/ISISComputingGroup/ibex_gui/pull/608,testability_body,irrelevant,irrelevant,,,pr50,Reviewer1
https://github.com/optimizely/android-sdk/pull/1,testability_body,incl_ref_for_test,other,,,pr50,Reviewer1
https://github.com/eclipse-archived/smarthome/pull/5528,testability_body,incl_ref_for_test,extract_class_for_override,extensions/binding/org.eclipse.smarthome.binding.hue/src/main/java/org/eclipse/smarthome/binding/hue/handler/HueLightHandler.java,https://github.com/eclipse-archived/smarthome/pull/5528/files#diff-fc88a6c4e0a0ccccca1c8c49cb6706bb469bd660c6118c6f8da2c986f9872fabR351,pr50,Reviewer1
https://github.com/eclipse-archived/smarthome/pull/5528,testability_body,incl_ref_for_test,widen_access_for_override,extensions/binding/org.eclipse.smarthome.binding.hue/src/main/java/org/eclipse/smarthome/binding/hue/handler/HueLightHandler.java,https://github.com/eclipse-archived/smarthome/pull/5528/files#diff-fc88a6c4e0a0ccccca1c8c49cb6706bb469bd660c6118c6f8da2c986f9872fabR351,pr50,Reviewer1
https://github.com/eclipse-archived/smarthome/pull/5528,testability_body,incl_ref_for_test,widen_access_for_invocation,extensions/binding/org.eclipse.smarthome.binding.hue/src/main/java/org/eclipse/smarthome/binding/hue/handler/HueLightHandler.java,https://github.com/eclipse-archived/smarthome/pull/5528/files#diff-fc88a6c4e0a0ccccca1c8c49cb6706bb469bd660c6118c6f8da2c986f9872fabR369,pr50,Reviewer1
https://github.com/komoot/photon/pull/146,testability_body,irrelevant,irrelevant,,,pr50,Reviewer1
https://github.com/ISISComputingGroup/ibex_gui/pull/819,testability_body,irrelevant,irrelevant,,,pr50,Reviewer1
https://github.com/ISISComputingGroup/ibex_gui/pull/342,testability_body,irrelevant,irrelevant,,,pr50,Reviewer1
https://github.com/hcoles/pitest/pull/129,testability_body,irrelevant,irrelevant,,,pr50,Reviewer1
https://github.com/rstudio/rstudio/pull/1261,testability_body,only_ref_for_test,extract_class_for_invocation,src/gwt/src/org/rstudio/studio/client/common/shell/ShellWidget.java,https://github.com/rstudio/rstudio/pull/1261/files#diff-d90a46134b1335938b1a1797eefa243acb2f42ac6e86f0b2515cd67980a044e4R76,pr50,Reviewer1
https://github.com/Catrobat/Paintroid/pull/523,testability_body,irrelevant,irrelevant,,,pr50,Reviewer1
https://github.com/signalapp/Signal-Android/pull/2733,testability_body,irrelevant,irrelevant,,,pr50,Reviewer1
https://github.com/SpongePowered/SpongeCommon/pull/1306,testability_body,irrelevant,irrelevant,,,pr50,Reviewer1
